order,record_id,class_code,pair_id,source_id,split,materialized_relpath,rubbing_relpath,glyph_relpath,content_sha256
56,6076b273ae9f1e5e997f,150100,150100:h01520,h01520,test,test/150100/6076b273ae9f1e5e997f.bmp,拓片数据/150100/150100_h01520_1.bmp,字模数据/150100/150100h01520.bmp,d7b71265ca37df87499db8bf8f62382384f9ae85e83a34da08cd8dd07a752f59
57,fab3e19e08ce67aead29,134014,134014:h19761,h19761,test,test/134014/fab3e19e08ce67aead29.bmp,拓片数据/134014/134014_h19761_1.bmp,字模数据/134014/134014h19761.bmp,7fc0fcc1566cf0165b1328b032c0ed29ff8b86d233e7f9d59d40d12bb4313f0f
58,acb998e9de0b449322dc,010009,010009:h19332,h19332,test,test/010009/acb998e9de0b449322dc.bmp,拓片数据/010009/010009_h19332_1.bmp,字模数据/010009/010009h19332.bmp,27df6d11ed13d927e541a78d11e9a1979ac61047c9b80c6b176463b5a3068ac8
59,dc51c735452bc5d8f898,039000,039000:h20685,h20685,test,test/039000/dc51c735452bc5d8f898.bmp,拓片数据/039000/039000_h20685_1.bmp,字模数据/039000/039000h20685.bmp,f09e000d004dce4f7ead319d7f148acbda626543cccd9c52bbe5e02483cefe7f
60,f794b9fb04c247f122a0,073000,073000:b09897,b09897,test,test/073000/f794b9fb04c247f122a0.bmp,拓片数据/073000/073000_b09897_1.bmp,字模数据/073000/073000b09897.bmp,f95628b5ccd732b133b1d28b60f3b041658c1b090f09f49cb7565747cd5b0d68
61,f5dcc1eee136ac80380b,011012,011012:b06950,b06950,test,test/011012/f5dcc1eee136ac80380b.bmp,拓片数据/011012/011012_b06950_1.bmp,字模数据/011012/011012b06950.bmp,e679cd1a223cdaf38e40fd2b35c59508d770489739682214d9c1c98aa8d3836c
62,91383c0d37cb459063ef,040000,040000:h11038,h11038,test,test/040000/91383c0d37cb459063ef.bmp,拓片数据/040000/040000_h11038_1.bmp,字模数据/040000/040000h11038.bmp,6c7e33fcda99369b12ed8f9b71e2053eccba283aa18259c7bc028929f8cb303f
63,b9fdbcf4a2353bfe69a4,078074,078074:h25101,h25101,test,test/078074/b9fdbcf4a2353bfe69a4.bmp,拓片数据/078074/078074_h25101_1.bmp,字模数据/078074/078074h25101.bmp,002938e5baa58535903218f3f085515902fdc394cd37afecace7af7411f503b5
64,e75e616e60c1f7a8c3ae,078038,078038:h06209,h06209,test,test/078038/e75e616e60c1f7a8c3ae.bmp,拓片数据/078038/078038_h06209_1.bmp,字模数据/078038/078038h06209.bmp,cb0fef3aa99339583ec5b6ce081ab7f87cdb69228bd4e55b3928d5ab69a744df
65,7d47638094dea4043cff,100004,100004:h33258,h33258,test,test/100004/7d47638094dea4043cff.bmp,拓片数据/100004/100004_h33258_1.bmp,字模数据/100004/100004h33258.bmp,f138d2539fa248d79a1e07c29d238d3eab56bad6984fd041a6656973a743f40c
66,c62585900d804d56059b,077033,077033:h36652,h36652,test,test/077033/c62585900d804d56059b.bmp,拓片数据/077033/077033_h36652_3.bmp,字模数据/077033/077033h36652.bmp,1340196d777be8b4d93d009b378af6ee2323dd3fdae817f5743b51b8cf42d419
67,764425ef34d3291b656f,038000,038000:h04639,h04639,test,test/038000/764425ef34d3291b656f.bmp,拓片数据/038000/038000_h04639_1.bmp,字模数据/038000/038000h04639.bmp,19f6229f1dc8151a367704bd9a626f16e8c0e2a99fcf53f06ae7f920900bfc32
68,c9eeda4e1fe9a35e98fa,003077,003077:h34345,h34345,test,test/003077/c9eeda4e1fe9a35e98fa.bmp,拓片数据/003077/003077_h34345_1.bmp,字模数据/003077/003077h34345.bmp,8581f8c27b08c3946081128726e36febe21904c54b421796bf7c0fa719882b2f
69,6220cef587b7ded7d539,004002,004002:b08761,b08761,test,test/004002/6220cef587b7ded7d539.bmp,拓片数据/004002/004002_b08761_1.bmp,字模数据/004002/004002b08761.bmp,67f033167ca85a1eabffc9e38c933fa10c48d6a8518ef85a4ab18a8e8345065b
70,1a486a42ae681dbf4079,031042,031042:h09956,h09956,test,test/031042/1a486a42ae681dbf4079.bmp,拓片数据/031042/031042_h09956_2.bmp,字模数据/031042/031042h09956.bmp,311c112a873e545bf18dcc127ce95375365e6fd844cbf46e381aa0c6a787c276
71,7c79fa6b4cedbb05ff42,089008,089008:b10420,b10420,test,test/089008/7c79fa6b4cedbb05ff42.bmp,拓片数据/089008/089008_b10420_1.bmp,字模数据/089008/089008b10420.bmp,f9d16a12cfd2dc4e0eb2f8307d889a5eaf7422b4ad03e11975cdb943f292e5f5
72,18e5fa5b8154864c94b9,048000,048000:h22364反,h22364,test,test/048000/18e5fa5b8154864c94b9.bmp,拓片数据/048000/048000_h22364反_1.bmp,字模数据/048000/048000h22364 反.bmp,b8d6618798cb8c1f31730d83ab9ede333b0d6648a104f336ee38bd6c9a15dd2c
73,cafb82a549919f4cbd8c,020000,020000:h30150,h30150,test,test/020000/cafb82a549919f4cbd8c.bmp,拓片数据/020000/020000_h30150_1.bmp,字模数据/020000/020000h30150.bmp,b0c51882645259027249dc914df72d0db23245fb22953609ef6a6bdbd565ab90
74,45d960c780694c5db85d,150088,150088:h20271,h20271,test,test/150088/45d960c780694c5db85d.bmp,拓片数据/150088/150088_h20271_1.bmp,字模数据/150088/150088h20271.bmp,7b1adfe1567a301104a229b75c5722496ca739909e6bb5e4941e8ab86be0feac
75,7ec66ef47206f46b5898,134014,134014:h19838,h19838,test,test/134014/7ec66ef47206f46b5898.bmp,拓片数据/134014/134014_h19838_1.bmp,字模数据/134014/134014h19838.bmp,30e99c6cabed1a84e7c75d99f342437b6c6b7854508d2c668f436c5c53873ed4
76,c66ca1765fd35db93ec9,018039,018039:h25608,h25608,test,test/018039/c66ca1765fd35db93ec9.bmp,拓片数据/018039/018039_h25608_1.bmp,字模数据/018039/018039h25608.bmp,534ce91af32055999210a6fb7f1505f6336a2f620bd042ba6e208d40a7f91744
77,eb3e46b25ee4a1e67a5d,039000,039000:h20980正,h20980,test,test/039000/eb3e46b25ee4a1e67a5d.bmp,拓片数据/039000/039000_h20980正_1.bmp,字模数据/039000/039000h20980 正.bmp,cdbbe6b5c715e274886ec4ba0bb6349edd4779fcdc9dd5a695d88e39be34fdf9
78,7cd02a34729e0d7b549b,010001,010001:h32486,h32486,test,test/010001/7cd02a34729e0d7b549b.bmp,拓片数据/010001/010001_h32486_1.bmp,字模数据/010001/010001h32486.bmp,02f944a2429a50a5592f8a56f678133cf391578e028e2990f5e3ee8b80a2179d
79,4acb30c07adc9170c96f,088013,088013:h33363,h33363,test,test/088013/4acb30c07adc9170c96f.bmp,拓片数据/088013/088013_h33363_1.bmp,字模数据/088013/088013h33363.bmp,9d91ffc43b8fa7d59af86eeacecb1460e9559c9aeadd5581929f415f3a05f780
80,3d9c644f8c0dc573c9b2,080009,080009:h13515,h13515,test,test/080009/3d9c644f8c0dc573c9b2.bmp,拓片数据/080009/080009_h13515_1.bmp,字模数据/080009/080009h13515.bmp,1432bbf27c45ab78a7391413488191c7a8c0fdcfb24ddea6c135c108a02ec8ea
81,bb333bd8b98cfb1b9395,150075,150075:b06925,b06925,test,test/150075/bb333bd8b98cfb1b9395.bmp,拓片数据/150075/150075_b06925_1.bmp,字模数据/150075/150075b06925.bmp,3f6c7e450b7213f7bc32f9e14efc6fdff951832fac711c367ce6fbc56445c9f6
82,6fc6c97b16653d561103,049011,049011:h00713,h00713,test,test/049011/6fc6c97b16653d561103.bmp,拓片数据/049011/049011_h00713_1.bmp,字模数据/049011/049011h00713.bmp,56e497e96cd355df6d1419c2e4f743dab09e194851b201a18c8b7a3d0f5b786a
83,af43dc21e3fdbf04f88d,003043,003043:h03255正,h03255,test,test/003043/af43dc21e3fdbf04f88d.bmp,拓片数据/003043/003043_h03255正_1.bmp,字模数据/003043/003043h03255 正.bmp,d8c7e4af7d6d5cf8a17d59f73d214d302d956950867a17e5b542e995baec5b45
84,5ec461b9018a88c4d248,058000,058000:h23155,h23155,test,test/058000/5ec461b9018a88c4d248.bmp,拓片数据/058000/058000_h23155_1.bmp,字模数据/058000/058000h23155.bmp,ef4b5e2b3d6807252bb1261dc30f5bf9ee2e05e19d8b67171660a7074a1c6051
85,1e23d29339253c34584a,038000,038000:h20370,h20370,test,test/038000/1e23d29339253c34584a.bmp,拓片数据/038000/038000_h20370_1.bmp,字模数据/038000/038000h20370.bmp,d729a048171303e822a207ee052aacff16ac1088c4a31bcf79cd09f8bd5a48ec
86,0c634e2725269d281386,078074,078074:h21155,h21155,test,test/078074/0c634e2725269d281386.bmp,拓片数据/078074/078074_h21155_1.bmp,字模数据/078074/078074h21155.bmp,55bd2e75a1cac00c01b2c9beba5ee44d89bb80a13934859cc6fbbd188c184d45
87,50852fae21e34755a5e0,011000,011000:h29446,h29446,test,test/011000/50852fae21e34755a5e0.bmp,拓片数据/011000/011000_h29446_1.bmp,字模数据/011000/011000h29446.bmp,c189a94d60cbbd7c6ac5f961beaa42782fdc37ab4847c67a36cc5cce815d1570
88,ded5f31119d4d8f6ab2c,048008,048008:h21736,h21736,test,test/048008/ded5f31119d4d8f6ab2c.bmp,拓片数据/048008/048008_h21736_1.bmp,字模数据/048008/048008h21736.bmp,3e011683576855f89231dca7529b15c6eee6a44177aec6d39e03718b7eb94e5e
89,15593546621c35d2add5,093000,093000:b09137,b09137,test,test/093000/15593546621c35d2add5.bmp,拓片数据/093000/093000_b09137_1.bmp,字模数据/093000/093000b09137.bmp,b8a3ca09d224fd8f1f2da24950b840628106a2eb2d20d07d2b20da2bf03f5028
90,5dfbee62934667c038f2,002000,002000:h24868,h24868,test,test/002000/5dfbee62934667c038f2.bmp,拓片数据/002000/002000_h24868_2.bmp,字模数据/002000/002000h24868.bmp,a766fa50ec9da5ea7d3b7d9b300cc9752bc22099f73e9e6fef3e58a885215b2a
91,f8b02f99ef3dc3a09855,093037,093037:h27219,h27219,test,test/093037/f8b02f99ef3dc3a09855.bmp,拓片数据/093037/093037_h27219_1.bmp,字模数据/093037/093037h27219.bmp,66ad1c42f103512ae226b136cf454cd9a67705cfc70d0d37d10e6b3488810039
92,051790c591bb3788898a,010064,010064:h31254,h31254,test,test/010064/051790c591bb3788898a.bmp,拓片数据/010064/010064_h31254_1.bmp,字模数据/010064/010064h31254.bmp,279ba263b6c08abe23eda6f0b13f17ab085b60fa185e6977d4b02fd01574e00e
93,c27631df07fe0ef86893,077001,077001:b08759,b08759,test,test/077001/c27631df07fe0ef86893.bmp,拓片数据/077001/077001_b08759_1.bmp,字模数据/077001/077001b08759.bmp,661d90a5ba199a79a59ccf80740e537c4192a1b04bc7bf0505b0d16f3e4445df
94,8d282c3e5ffc9ceaf9f5,004013,004013:d00946,d00946,test,test/004013/8d282c3e5ffc9ceaf9f5.bmp,拓片数据/004013/004013_d00946_1.bmp,字模数据/004013/004013d00946.bmp,4706d6f6e66d7753c0b25c28fc4c4720013ee00374839088ef9786e33daf8800
95,f437699d88f9e1dd2c07,134006,134006:h00483,h00483,test,test/134006/f437699d88f9e1dd2c07.bmp,拓片数据/134006/134006_h00483_1.bmp,字模数据/134006/134006h00483.bmp,8f7f5c129434106f59828cce22e3076863faeaee9988ba0f681a0c47b17a9525
96,2b21be867df5bbc3c367,039000,039000:h15566反,h15566,test,test/039000/2b21be867df5bbc3c367.bmp,拓片数据/039000/039000_h15566反_1.bmp,字模数据/039000/039000h15566 反.bmp,0da68b212f25234fdce69f2ca1946c47b3b145a91c612a76bc50e1e030e0585d
97,ae41e05cbe53ce7886d9,100004,100004:b04527,b04527,test,test/100004/ae41e05cbe53ce7886d9.bmp,拓片数据/100004/100004_b04527_1.bmp,字模数据/100004/100004b04527.bmp,ddbfe7adcf19b5385d915a173ce504240dc98293fc2a34050014eba12f90a565
98,e028d9bfcd347bb93e79,001109,001109:h31354,h31354,test,test/001109/e028d9bfcd347bb93e79.bmp,拓片数据/001109/001109_h31354_5.bmp,字模数据/001109/001109h31354.bmp,274eb944948ffe0284ca144decd49d550aca74d3011e96b1679af4ce9700ab84
99,c56596ffc9e42150e8d0,001109,001109:h28442,h28442,test,test/001109/c56596ffc9e42150e8d0.bmp,拓片数据/001109/001109_h28442_1.bmp,字模数据/001109/001109h28442.bmp,68da2924fd004ae6751297847ec8ca6fe497c237e12c31d20621ad642aab3334
100,41c5b15135d512402beb,018039,018039:h26899,h26899,test,test/018039/41c5b15135d512402beb.bmp,拓片数据/018039/018039_h26899_1.bmp,字模数据/018039/018039h26899.bmp,4bc7a158b21992500dfbd9a00421a874a08cf1b53443ed74f9cd26117e23cbea
